name,role,skin_type,power_level,weight,height,age,eye_color,gender,hair_color,speed,universe,body_type,job,battle_iq,species,ranking,intelligence,abilities,training_time,special_attack,secret_code,win_prob
America Chavez,H3ro,Scaly,10571.0,66,175.0,32.0,Blue,1.0,Brown,3141.0,DC,Slim,Hero,886.0,Undead,295.0,836.0,Flying,4710.0,Water Vortex,10001.0,0.69
Deku,H3ro,Normal,,50,158.0,76.0,Brown,,White,1411.0,DC Comics,Regular,Mage,736.0,Undead,270.0,,Flying,328.0,Electric Surge,,0.4
Esdeath,Hero,Wooden,7191.0,50,159.0,68.0,Pink,2.0,Gold,,DC,Athletic,Brewer,1283.0,Saiyan,1449.0,1167.0,Super Strength,5579.0,Fireburst Cannon,11010.0,0.71
Rogue,Hero,Steel,9395.0,92,150.0,137.0,Black,1.0,White,1011.0,DC,Giant,Leader,704.0,Alien,4561.0,691.0,Mind Reading,4228.0,Electric Nova,11000.0,0.57
Gon,Hero,Wooden,1742.0,641,900.0,66.0,Pink,2.0,Black,1562.0,DC Comics,Giant,Hero,942.0,Giant,790.0,,Super Strength,,Fireburst Cannon,,0.63
Phantom Stranger,HerO,Hairy,9252.0,700,728.0,73.0,,1.0,Bald,1449.0,DC Comics,Giant,Hero,536.0,Giant,2483.0,,Mind Reading,6794.0,Electric Nova,10010.0,0.67
Quantum Defender,Hero,Metallic,,65,171.0,72.0,,1.0,Fire-like,1458.0,DC,Athletic,Thief,1320.0,Human,1345.0,1200.0,Flying,120.0,Eternal Firewave,,0.37
Black Panther,Hero,Draconish,10594.0,128,156.0,63.0,White,1.0,Pink,1599.0,DC Comics,Giant,Leader,1037.0,Kryptonian,4027.0,961.0,Mind Reading,6749.0,Water Fury,,0.82
Techno Hacker,HerO,Hairy,1631.0,77,160.0,66.0,Blood,2.0,Gold,1535.0,DC,Fat,Cult Leader,1283.0,Undead,3529.0,1167.0,Flying,964.0,Water Vortex,,0.82
Augmented Crypto-Warrior,H3ro,Metallic,7806.0,80,194.0,72.0,Green,2.0,Silver,1420.0,DC Comics,Athletic,Saviors,943.0,Kryptonian,1102.0,890.0,Super Strength,4224.0,Grass Surge,10011.0,0.52
Brave Knight,H3ro,Scaly,4364.0,93,167.0,93.0,,0.0,Purple,1149.0,DC Comics,Giant,Cult Leader,1227.0,Saiyan,2560.0,1116.0,Super Strength,3675.0,Fireburst Cannon,,0.27
John Constantine,H3ro,Draconish,9405.0,101,177.0,65.0,White,0.0,Green,1661.0,DC,Athletic,Arcanist,580.0,Kryptonian,3188.0,580.0,Super Speed,5694.0,Water Fury,10101.0,0.73
Tanjiro,Hero,Hairy,3286.0,102,198.0,32.0,Blood,1.0,Bald,3135.0,DC Comics,Muscular,Scientist,572.0,Kryptonian,3994.0,572.0,Time Manipulation,2076.0,Water Vortex,,0.8
Arcane Templar,Hero,Hairy,11553.0,700,738.0,121.0,Blood,0.0,Blonde,,DC Comics,Giant,Warrior,87.0,Giant,897.0,97.0,Super Speed,6865.0,Electric Storm,,0.55
Magik,H3ro,Hairy,8770.0,91,140.0,43.0,Blood,2.0,Purple,2385.0,DC,Normal,Cult Leader,1211.0,Human,4661.0,1101.0,Flying,5643.0,Electric Storm,10010.0,0.85
Sanji,Hero,Steel,12834.0,86,191.0,21.0,Black,0.0,Purple,4809.0,DC,Athletic,Saviors,1193.0,Saiyan,4019.0,1085.0,Mind Reading,8524.0,Electric Surge,11000.0,0.75
Divine Sorcerer,H3ro,Steel,8416.0,105,172.0,100.0,Black,1.0,Brown,1011.0,DC,Athletic,Scientist,872.0,Kryptonian,4537.0,,Super Speed,5249.0,Water Vortex,,0.67
She-Hulk,Hero,Steel,2939.0,583,775.0,119.0,Black,0.0,Green,843.0,DC Comics,Giant,Leader,600.0,Giant,4419.0,600.0,Teleportation,1316.0,Grass Tempest,,0.43
Ethereal Templar,Hero,Draconish,1852.0,88,201.0,130.0,,1.0,Black,,DC,Muscular,Arcanist,977.0,Kryptonian,4688.0,,Flying,1196.0,Eternal Firewave,,0.45
Arcane Enchanter,Hero,Steel,6378.0,65,146.0,121.0,Black,2.0,Bald,,DC,Fat,Hero,563.0,,3849.0,563.0,Flying,3170.0,Grass Surge,11000.0,0.54
Red Robin,H3ro,Wooden,16121.0,117,191.0,36.0,,1.0,Pink,2789.0,DC Comics,Athletic,Warrior,1034.0,Kryptonian,3899.0,958.0,Flying,9621.0,Electric Surge,11010.0,0.9
Takashi Komuro,Hero,Metallic,,106,192.0,31.0,Green,,None,3266.0,DC,Giant,Brewer,1162.0,Saiyan,4606.0,1057.0,Super Strength,355.0,Electric Nova,10011.0,0.58
Katma Tui,HerO,Scaly,7612.0,100,197.0,22.0,Blue,1.0,Fire-like,4547.0,DC Comics,Athletic,Thief,1309.0,Saiyan,3526.0,1190.0,Flying,4898.0,Fire Fist,10001.0,0.5
Red Tornado,H3ro,Luminescent,16403.0,83,173.0,135.0,Glowing,2.0,Pink,837.0,DC,Muscular,Captain,1010.0,Kryptonian,1281.0,936.0,Mind Reading,9718.0,Electric Nova,,0.64
Impulse,Hero,Transparent,,77,179.0,43.0,Yellow,,Brown,,DC Comics,Slim,Arcanist,912.0,Human,4151.0,861.0,Teleportation,28.0,Eternal Firewave,10111.0,0.45
Valiant Spellblade,H3ro,Normal,1597.0,99,187.0,48.0,Brown,0.0,Brown,2214.0,DC Comics,Giant,Captain,884.0,Kryptonian,457.0,834.0,Super Strength,1013.0,Electric Storm,,0.43
Gallant Sentinel,Hero,Draconish,17731.0,,148.0,141.0,White,2.0,Purple,,DC Comics,Slim,Captain,1227.0,Undead,3207.0,1116.0,Super Strength,9019.0,Electric Nova,10101.0,0.76
Neon Overclock,H3ro,Stone,3646.0,643,789.0,109.0,Red,,Gold,936.0,DC Comics,Regular,Assassin,1262.0,Giant,2158.0,1148.0,Flying,2024.0,Eternal Firewave,10010.0,0.47
Noble Spellblade,Hero,Scaly,11181.0,67,186.0,84.0,Blue,2.0,Blonde,,DC Comics,Slim,Brewer,88.0,Human,4053.0,98.0,Time Manipulation,8490.0,Water Gun,10001.0,0.54
Blade,HerO,Draconish,6607.0,666,,103.0,White,0.0,Black,999.0,DC,Giant,Arcanist,980.0,Giant,4842.0,908.0,Super Strength,5839.0,Grass blade,,0.52
Mikasa,Hero,Metallic,12606.0,83,170.0,138.0,,2.0,White,729.0,DC Comics,Slim,Leader,748.0,Human,3095.0,720.0,Mind Reading,5791.0,Grass blade,,0.5
M,Hero,Stone,1323.0,120,187.0,35.0,Red,0.0,Silver,,DC Comics,Muscular,Arcanist,988.0,Alien,2890.0,915.0,Time Manipulation,754.0,Electric Nova,10010.0,0.58
Brave Spellblade,H3ro,Draconish,11617.0,96,177.0,123.0,White,2.0,Gold,840.0,DC,Giant,Arcanist,1246.0,Saiyan,2331.0,1133.0,Super Strength,8961.0,Water Vortex,10101.0,0.8
Noelle Silva,Hero,Wooden,5728.0,102,223.0,111.0,Pink,2.0,Fire-like,918.0,DC,Muscular,Hero,1320.0,Alien,2626.0,1200.0,Mind Reading,,Grass Surge,11010.0,0.69
Hercules,Hero,Steel,2410.0,73,221.0,46.0,Black,,Purple,2194.0,DC,Athletic,God,1195.0,Saiyan,504.0,1087.0,Super Strength,,Electric Nova,11000.0,0.64
Black Lightning,Hero,Stone,3087.0,519,739.0,52.0,,2.0,None,1940.0,DC Comics,Regular,Demon Lord,1171.0,Giant,231.0,1065.0,Flying,1906.0,Grass Tempest,10010.0,0.64
Sargon the Sorcerer,HerO,Hairy,11898.0,123,200.0,74.0,Blood,1.0,Fire-like,1353.0,DC,Athletic,Mage,1303.0,Kryptonian,4838.0,1185.0,Super Strength,14798000.0,Electric Nova,,0.76
Max Mercury,Hero,Hairy,14621.0,649,831.0,26.0,,2.0,Bald,3896.0,DC Comics,Giant,Arcanist,547.0,Giant,370.0,547.0,Super Strength,7961.0,Fire Fist,10010.0,0.76
Techno Hacker,HerO,Hairy,1631.0,77,160.0,66.0,Blood,2.0,Gold,1535.0,DC,Fat,Cult Leader,1283.0,Undead,3529.0,1167.0,Flying,964.0,Water Vortex,,0.82
Digital Netrunner,HerO,Hairy,16836.0,59,142.0,76.0,Blood,0.0,Brown,1361.0,DC,Regular,Thief,887.0,Undead,1051.0,837.0,Time Manipulation,9756.0,Fireburst Cannon,,0.64
Chivalrous Cleric,Hero,Scaly,16901.0,,171.0,145.0,,2.0,Green,742.0,DC,Muscular,Captain,620.0,Kryptonian,3002.0,608.0,Teleportation,9410.0,Fire Fist,10001.0,8.6
Holographic Defender,H3ro,Normal,8488.0,129,194.0,31.0,Brown,0.0,Pink,3236.0,DC Comics,Athletic,Mage,1043.0,Alien,2858.0,966.0,Teleportation,4601.0,Water Vortex,,0.61
Franklin Richards,Hero,Scaly,13831.0,533,783.0,35.0,Blue,2.0,Green,,DC,Regular,Cult Leader,613.0,Giant,4784.0,601.0,Mind Reading,9549.0,Water Fury,,0.74
Digital Shadowcaster,Hero,Metallic,2196.0,74,161.0,62.0,Green,1.0,Silver,1661.0,DC Comics,Regular,Brewer,975.0,Human,221.0,903.0,Time Manipulation,1460.0,Electric Nova,10011.0,0.48
Black Orchid,Hero,Hairy,10891.0,50,164.0,136.0,,1.0,Brown,781.0,DC Comics,Regular,Mage,911.0,Undead,2796.0,860.0,Super Strength,,Water Vortex,10010.0,0.76
Hyper Glitch,Hero,Draconish,2127.0,107,179.0,130.0,,0.0,Blonde,,DC,Muscular,Scientist,106.0,Alien,3118.0,116.0,Flying,1416.0,Water Fury,,0.53
Polaris,Hero,Scaly,12401.0,90,189.0,70.0,Blue,,None,1450.0,DC Comics,Athletic,Warrior,1155.0,Kryptonian,798.0,1050.0,Super Strength,7766.0,Electric Nova,10001.0,0.58
Divine Spellblade,H3ro,Steel,2348.0,56,143.0,94.0,Black,0.0,White,1185.0,DC,Giant,Brewer,702.0,Alien,3508.0,689.0,Teleportation,1428.0,Water Fury,11000.0,0.56
The Spectre,Hero,Transparent,9083.0,50,155.0,27.0,,1.0,Fire-like,3724.0,DC Comics,Fat,Demon Lord,1320.0,Undead,2828.0,1200.0,Super Strength,4378.0,Eternal Firewave,10111.0,0.58
Mera,HerO,Normal,12853.0,109,259.0,64.0,Brown,0.0,Bald,1592.0,DC,Giant,Saviors,513.0,Alien,2928.0,513.0,Super Speed,7529.0,Electric Surge,10000.0,0.45
Nemesis,Hero,Transparent,7229.0,72,156.0,78.0,,2.0,Brown,1338.0,DC,Regular,Cult Leader,914.0,Undead,3375.0,863.0,Time Manipulation,4474.0,Fire Fist,,0.47
Hyper Firewall,Hero,Draconish,4222.0,59,139.0,123.0,,0.0,None,,DC,Fat,Scientist,1138.0,Undead,2878.0,1035.0,Super Speed,3071.0,Grass blade,,0.51
Akira Fudo,Hero,Transparent,,99,188.0,117.0,Yellow,0.0,Purple,876.0,DC Comics,Giant,God,1205.0,Alien,463.0,1096.0,Teleportation,,Water Gun,10111.0,0.49
Makunouchi Ippo,H3ro,Draconish,18873.0,96,163.0,98.0,White,0.0,Silver,1049.0,DC,Athletic,Saviors,991.0,Saiyan,2001.0,918.0,Flying,8547.0,Electric Nova,10101.0,0.67
Neon Hacker,H3ro,Transparent,3451.0,,215.0,143.0,,,Black,778.0,DC,Giant,Saviors,948.0,Kryptonian,2029.0,895.0,Super Strength,1563.0,Grass Tempest,,0.41
Lina Inverse,HerO,Metallic,1693.0,97,193.0,23.0,Green,0.0,White,4364.0,DC,Muscular,Drunken,740.0,Kryptonian,1923.0,712.0,Super Speed,1040.0,Fireburst Cannon,10011.0,0.38
Icon,Hero,Metallic,3359.0,76,163.0,109.0,Green,1.0,Fire-like,,DC,Slim,God,1320.0,Human,2557.0,1200.0,Flying,2686.0,Electric Storm,,0.44
Hyper Netrunner,Hero,Hairy,3884.0,94,180.0,123.0,Blood,2.0,Blonde,831.0,DC,Muscular,Saviors,90.0,Saiyan,4855.0,100.0,Time Manipulation,2553.0,Water Vortex,10010.0,0.65
Star-Lord,H3ro,Luminescent,3744.0,101,169.0,138.0,Glowing,2.0,Blonde,819.0,DC Comics,Athletic,Mage,94.0,Kryptonian,696.0,103.0,Super Strength,1779.0,Water Vortex,,0.53
Blade,HerO,Draconish,6607.0,666,,103.0,White,0.0,Black,999.0,DC,Giant,Arcanist,980.0,Giant,4842.0,908.0,Super Strength,5839.0,Grass blade,,0.52
Wonder Woman,Hero,Hairy,,90,189.0,75.0,Blood,1.0,Blonde,1337.0,DC Comics,Giant,Demon Lord,87.0,Saiyan,537.0,97.0,Teleportation,75.0,Water Fury,10010.0,0.63
Longshot,Hero,Stone,8018.0,700,847.0,115.0,,0.0,None,1109.0,DC,Giant,Hero,1157.0,Giant,2498.0,1052.0,Teleportation,4326.0,Electric Surge,10010.0,0.52
Ten Shien Han,Hero,Wooden,9527.0,91,158.0,94.0,Pink,2.0,Blonde,1102.0,DC Comics,Normal,Saviors,74.0,Human,938.0,83.0,Mind Reading,,Electric Nova,11010.0,0.64
Mystic Sorcerer,HerO,Normal,6493.0,107,183.0,51.0,,,Pink,2170.0,DC Comics,Athletic,Arcanist,1020.0,Saiyan,2766.0,945.0,Flying,5057.0,Eternal Firewave,,0.36
Nightwing,Hero,Hairy,3893.0,700,759.0,47.0,Blood,2.0,Silver,,DC Comics,Giant,Mage,926.0,Giant,1391.0,874.0,Time Manipulation,2349.0,Grass blade,,0.75
Asta,Hero,Stone,5279.0,73,168.0,41.0,Red,,Brown,,DC,Athletic,God,886.0,Saiyan,162.0,836.0,Mind Reading,2773.0,Fire Fist,,0.52
Cybernetic Overclock,HerO,Hairy,3383.0,50,149.0,36.0,,1.0,None,,DC,Slim,Hero,1111.0,Undead,4411.0,1010.0,Flying,2262.0,Fire Fist,10010.0,0.65
Hawkgirl,Hero,Transparent,6124.0,84,188.0,78.0,Yellow,1.0,Gold,1291.0,DC,Giant,Captain,1270.0,Kryptonian,2672.0,1155.0,Time Manipulation,3229.0,Grass Surge,,0.52
The Thing,Hero,Metallic,,65,197.0,109.0,Green,2.0,Brown,,DC,Regular,Assassin,927.0,Undead,307.0,875.0,Teleportation,392.0,Fireburst Cannon,10011.0,0.32
Bishop,Hero,Normal,2111.0,79,161.0,125.0,Brown,0.0,Fire-like,861.0,DC Comics,Normal,Demon Lord,1314.0,Human,3776.0,1195.0,Mind Reading,1108.0,Water Fury,,0.42
Vision,Hero,Hairy,7563.0,73,219.0,45.0,,1.0,Black,2238.0,DC Comics,Giant,Saviors,981.0,Alien,3461.0,909.0,Teleportation,4362.0,Grass blade,,0.75
Quicksilver,Hero,Scaly,7231.0,50,196.0,44.0,Blue,0.0,Green,,DC Comics,Fat,Hero,623.0,Undead,4654.0,611.0,Flying,5188.0,Electric Nova,,0.49
Quantum Crypto-Warrior,Hero,Metallic,13690.0,135,181.0,64.0,Green,2.0,None,1592.0,DC Comics,Giant,Arcanist,1128.0,Alien,4217.0,1026.0,Flying,8802.0,Water Gun,,0.75
Quantum Shadowcaster,HerO,Luminescent,7821.0,462,867.0,102.0,Glowing,2.0,Gold,1102.0,DC Comics,Giant,Cult Leader,1243.0,Giant,3451.0,1130.0,Time Manipulation,5057.0,Grass Surge,11111.0,0.55
Brave Cleric,Hero,Stone,5899.0,96,249.0,30.0,,1.0,Green,3343.0,DC,Athletic,Hero,621.0,Alien,2185.0,609.0,Teleportation,3998.0,Fire Fist,10010.0,0.54
Nightcrawler,HerO,Wooden,15133.0,52,176.0,123.0,Pink,,Black,813.0,Anime,Normal,Brewer,952.0,Alien,168.0,899.0,Time Manipulation,8864.0,Fireburst Cannon,11010.0,0.64
Encrypted Cyborg,Hero,Luminescent,15052.0,70,170.0,87.0,Glowing,2.0,Fire-like,1152.0,Anime,Fat,Scientist,1305.0,Human,3848.0,1187.0,Time Manipulation,6566.0,Water Vortex,11111.0,0.78
Cybernetic Cyborg,H3ro,Transparent,7247.0,80,192.0,114.0,,1.0,White,,Anime,Athletic,Demon Lord,700.0,,4817.0,687.0,Flying,3677.0,Fire Fist,10111.0,0.36
Valeria Richards,Hero,Draconish,11727.0,50,157.0,84.0,,1.0,Black,1242.0,Anime,Fat,Brewer,976.0,Undead,183.0,904.0,Teleportation,5796.0,Water Fury,,0.77
Digital Overclock,HerO,Draconish,9321.0,102,195.0,68.0,White,1.0,Silver,,Anime,Athletic,Mage,937.0,Kryptonian,2593.0,884.0,Super Strength,6363.0,Grass blade,10101.0,0.68
Pixelated Defender,Hero,Luminescent,16462.0,114,162.0,71.0,Glowing,2.0,Purple,1418.0,Anime,Giant,Brewer,1164.0,Kryptonian,3095.0,1059.0,Teleportation,8123.0,Fireburst Cannon,,0.62
Ging Freecss,H3ro,Steel,17717.0,53,251.0,121.0,,0.0,Black,,Anime,Giant,Cult Leader,949.0,Alien,4673.0,896.0,Super Strength,8222.0,Eternal Firewave,,0.53
Akira Fudo,Hero,Transparent,,99,188.0,117.0,Yellow,0.0,Purple,876.0,DC Comics,Giant,God,1205.0,Alien,463.0,1096.0,Teleportation,,Water Gun,10111.0,0.49
Cybernetic Netrunner,Hero,Scaly,11127.0,73,,76.0,Blue,,Brown,,Anime,Fat,Cult Leader,896.0,Human,3198.0,846.0,Super Strength,7690.0,Electric Surge,,0.55
Radiant Paladin,Hero,Steel,2510.0,121,182.0,66.0,Black,,Bald,1657.0,Anime,Muscular,Drunken,549.0,,2642.0,549.0,Time Manipulation,1400.0,Electric Surge,11000.0,0.57
Gallant Crusader,Hero,Normal,7233.0,123,186.0,45.0,Brown,0.0,Black,2298.0,Anime,Muscular,Saviors,984.0,Kryptonian,4691.0,912.0,Teleportation,4071.0,Electric Nova,10000.0,0.49
Valiant Enchanter,H3ro,Metallic,13791.0,90,196.0,133.0,Green,,Blonde,782.0,Anime,Regular,Scientist,89.0,Human,801.0,99.0,Teleportation,8808.0,Grass Surge,10011.0,0.45
Shigeo Kageyama,HerO,Draconish,4735.0,67,184.0,24.0,,1.0,White,,Anime,Normal,Thief,732.0,Human,4001.0,704.0,Super Strength,2786.0,Water Fury,10101.0,0.8
Quantum Cyborg,H3ro,Scaly,12804.0,112,212.0,103.0,,0.0,None,985.0,Anime,Muscular,Scientist,1178.0,,820.0,1071.0,Flying,7169.0,Water Fury,,0.55
Ethereal Cleric,H3ro,Draconish,1408.0,50,173.0,71.0,White,2.0,Silver,1471.0,Anime,Slim,Demon Lord,952.0,Undead,1687.0,899.0,Flying,870.0,Grass Surge,10101.0,0.61
Echo,Hero,Luminescent,8216.0,75,124.0,124.0,,2.0,Blonde,903.0,Anime,Regular,Drunken,125.0,Undead,2753.0,136.0,Super Strength,4196.0,Grass Tempest,11111.0,0.45
Beta Ray Bill,H3ro,Draconish,12607.0,66,139.0,73.0,White,2.0,Fire-like,1391.0,Anime,Athletic,Cult Leader,1305.0,Saiyan,4070.0,1187.0,Time Manipulation,9604.0,Electric Storm,,0.77
Genos,Hero,Normal,4274.0,84,194.0,34.0,Brown,2.0,Blonde,,Anime,Athletic,Scientist,77.0,Saiyan,4119.0,86.0,Flying,2739.0,Fire Fist,10000.0,0.37
Pixelated Firewall,HerO,Steel,1836.0,130,186.0,80.0,,2.0,None,1267.0,Anime,Athletic,God,1168.0,Kryptonian,2782.0,1062.0,Super Strength,940.0,Electric Surge,11000.0,0.59
Ghost Rider,Hero,Steel,,,144.0,141.0,Black,,White,,Anime,Giant,Drunken,754.0,Alien,1366.0,725.0,Super Strength,340.0,Fire Fist,,0.35
Kenshin Himura,Hero,Luminescent,14664.0,50,158.0,40.0,Glowing,,Silver,2505.0,Anime,Slim,Leader,948.0,Undead,2454.0,895.0,Flying,7422.0,Grass blade,11111.0,0.7
Hawk,H3ro,Wooden,6961.0,107,184.0,65.0,,2.0,Black,,Anime,Athletic,Warrior,942.0,Kryptonian,2977.0,889.0,Mind Reading,4133.0,Water Vortex,11010.0,0.88
Tatsumi,Hero,Transparent,1107.0,50,178.0,57.0,Yellow,,None,1819.0,Anime,Muscular,Arcanist,1193.0,Saiyan,3572.0,1085.0,Super Strength,659.0,Grass Surge,10111.0,0.52
Ms. Marvel,HerO,Normal,15178.0,63,193.0,81.0,,2.0,Silver,1375.0,Anime,Giant,Drunken,937.0,Saiyan,1653.0,884.0,Flying,9752.0,Fire Fist,10000.0,0.44
Supergirl,Hero,Scaly,5428.0,65,141.0,105.0,,2.0,Blonde,998.0,Anime,Fat,Demon Lord,95.0,Undead,4072.0,104.0,Super Strength,3457.0,Water Vortex,,0.46
Ichigo Kurosaki,Hero,Transparent,11862.0,79,158.0,97.0,Yellow,1.0,Pink,,Anime,Giant,Demon Lord,1046.0,Saiyan,618.0,969.0,Super Speed,9848.0,Electric Storm,10111.0,0.53
Looker,H3ro,Normal,6660.0,594,847.0,65.0,Brown,2.0,Gold,,Anime,Regular,Demon Lord,1255.0,Giant,4390.0,1141.0,Time Manipulation,2975.0,Electric Surge,10000.0,0.53
Invisible Woman,Hero,Transparent,14941.0,60,177.0,22.0,Yellow,,Purple,4554.0,Anime,Fat,Drunken,1199.0,Human,1754.0,1090.0,Super Strength,9241.0,Grass Tempest,,0.69
Prowler,Hero,Hairy,,89,169.0,25.0,Blood,1.0,Blonde,4033.0,Anime,Giant,Saviors,81.0,Kryptonian,2355.0,91.0,Mind Reading,,Fire Fist,10010.0,0.53
Techno Netrunner,Hero,Scaly,17368.0,58,139.0,112.0,,,Pink,899.0,Anime,Regular,Cult Leader,1040.0,Undead,2173.0,963.0,Flying,9896.0,Water Gun,10001.0,0.66
Nightcrawler,HerO,Wooden,15133.0,52,176.0,123.0,Pink,,Black,813.0,Anime,Normal,Brewer,952.0,Alien,168.0,899.0,Time Manipulation,8864.0,Fireburst Cannon,11010.0,0.64
Hellcat,Hero,Steel,11864.0,51,136.0,27.0,Black,1.0,Gold,3761.0,Anime,Slim,Drunken,1288.0,Undead,390.0,,Super Strength,,Water Vortex,11000.0,0.89
Neon Defender,H3ro,Steel,10450.0,129,180.0,127.0,Black,,Green,,Anime,Giant,Leader,600.0,Saiyan,2436.0,600.0,Teleportation,5442.0,Fire Fist,11000.0,0.43
Pixelated Netrunner,Hero,Metallic,1233.0,544,810.0,94.0,Green,1.0,Fire-like,1071.0,Anime,Giant,Warrior,1320.0,Giant,4699.0,1200.0,Teleportation,818.0,Electric Storm,10011.0,0.42
Vegeta,H3ro,Steel,9100.0,591,788.0,96.0,Black,2.0,None,,Anime,Giant,Thief,1155.0,Giant,3294.0,1050.0,Time Manipulation,4868.0,Water Gun,11000.0,0.74
Cybernetic Glitch,H3ro,Transparent,,69,175.0,69.0,Yellow,2.0,None,1499.0,Anime,Slim,Drunken,1182.0,Undead,1851.0,1075.0,Time Manipulation,12.0,Water Fury,10111.0,0.65
Tony Chopper,H3ro,Scaly,13283.0,84,176.0,30.0,Blue,2.0,None,3377.0,Anime,Athletic,Brewer,1145.0,Alien,754.0,1041.0,Super Strength,7727.0,Grass blade,10001.0,0.65
Senku Ishigami,HerO,Transparent,1782.0,577,684.0,114.0,Yellow,2.0,Purple,,Anime,Regular,Hero,1248.0,Giant,4737.0,1135.0,Flying,920.0,Fire Fist,,7.800000000000001
Encrypted Netrunner,Hero,Stone,7377.0,54,254.0,89.0,Red,0.0,Purple,,Anime,Normal,Warrior,1235.0,Alien,777.0,,Mind Reading,4920.0,Electric Nova,,0.55
Mob,H3ro,Scaly,4572.0,84,155.0,35.0,Blue,2.0,None,2859.0,Anime,Fat,Demon Lord,1151.0,Undead,4849.0,,Time Manipulation,2418.0,Grass Tempest,,0.57
Prodigy,Hero,Hairy,11572.0,75,174.0,87.0,Blood,2.0,Blonde,1161.0,Anime,Fat,Mage,112.0,Human,2760.0,122.0,Super Strength,9506.0,Electric Surge,10010.0,13.200000000000001
Valiant Enchanter,H3ro,Metallic,13791.0,90,196.0,133.0,Green,,Blonde,782.0,Anime,Regular,Scientist,89.0,Human,801.0,99.0,Teleportation,8808.0,Grass Surge,10011.0,0.45
Minato Uzumaki,Hero,Metallic,13712.0,192,244.0,118.0,Green,0.0,Brown,848.0,Anime,Muscular,Warrior,922.0,Alien,2240.0,870.0,Super Strength,6475.0,Grass Surge,10011.0,0.44
Booster Gold,Hero,Metallic,3951.0,58,140.0,67.0,,0.0,Purple,,Anime,Regular,Cult Leader,1235.0,Undead,552.0,1123.0,Teleportation,2017.0,Water Vortex,,0.58
Hiei,Hero,Draconish,12791.0,51,208.0,83.0,,2.0,Bald,1210.0,Anime,Normal,Captain,502.0,Alien,4641.0,502.0,Flying,7957.0,Electric Storm,,0.68
Chivalrous Templar,Hero,Stone,18871.0,50,131.0,109.0,,2.0,Pink,1020.0,Anime,Regular,God,1036.0,Undead,4351.0,960.0,Time Manipulation,9420.0,Electric Nova,10010.0,0.7
Holographic Shadowcaster,H3ro,Transparent,9430.0,63,153.0,95.0,Yellow,2.0,Brown,1089.0,Anime,Fat,Leader,909.0,Human,3894.0,858.0,Teleportation,4792.0,Grass blade,10111.0,0.51
Elongated Man,HerO,Hairy,11197.0,133,202.0,120.0,,2.0,Blonde,893.0,Anime,Muscular,Scientist,97.0,Kryptonian,3499.0,106.0,Teleportation,6830.0,Water Vortex,,0.73
Cybernetic Shadowcaster,Hero,Wooden,4016.0,99,259.0,108.0,Pink,,Blonde,,Anime,Athletic,Demon Lord,93.0,Alien,1719.0,102.0,Mind Reading,2434.0,Electric Nova,11010.0,0.54
Hyper Shadowcaster,Hero,Transparent,4091.0,606,756.0,37.0,Yellow,2.0,Black,,Anime,Giant,Captain,974.0,Giant,2846.0,902.0,Time Manipulation,2868.0,Electric Surge,,0.63
Thor,HerO,Wooden,2432.0,82,170.0,38.0,,1.0,Bald,2774.0,Anime,Regular,Leader,575.0,Undead,629.0,575.0,Time Manipulation,1438.0,Electric Storm,,0.72
Augmented Netrunner,Hero,Transparent,4570.0,59,167.0,74.0,Yellow,0.0,Silver,,Anime,Regular,Scientist,982.0,Human,2473.0,910.0,Teleportation,,Water Vortex,,0.57
Blue Beetle,H3ro,Scaly,3382.0,72,152.0,121.0,Blue,2.0,Brown,,Anime,Athletic,Leader,904.0,Saiyan,4135.0,853.0,Time Manipulation,1781.0,Fire Fist,10001.0,0.32
Metron,Hero,Wooden,11856.0,127,276.0,137.0,Pink,1.0,Pink,805.0,Anime,Muscular,Captain,1044.0,Alien,2457.0,967.0,Teleportation,6343.0,Electric Surge,,0.71
Aquaman,HerO,Wooden,2807.0,58,222.0,23.0,,2.0,Black,4353.0,Anime,Muscular,Warrior,976.0,Alien,3547.0,904.0,Flying,2263.0,Electric Storm,11010.0,0.8
Mystic Enchanter,H3ro,Luminescent,,86,175.0,127.0,,1.0,Gold,,Anime,Athletic,Scientist,1276.0,,4424.0,1160.0,Super Strength,,Grass Surge,,0.44
Jin-Woo Sung,Hero,Metallic,12884.0,82,165.0,134.0,,1.0,Gold,768.0,Anime,Muscular,Mage,1305.0,Alien,2567.0,1187.0,Flying,8699.0,Grass Tempest,10011.0,0.51
The Flash,H3ro,Draconish,16534.0,90,163.0,48.0,White,0.0,Pink,2088.0,Anime,Giant,Hero,1018.0,Saiyan,1640.0,943.0,Flying,6159.0,Fireburst Cannon,10101.0,0.7
Tsunade,Hero,Scaly,11935.0,105,183.0,78.0,Blue,,Black,1326.0,Anime,Muscular,Mage,937.0,Kryptonian,3395.0,884.0,Mind Reading,7027.0,Eternal Firewave,,0.38
Radiant Templar,HerO,Draconish,,,161.0,144.0,,0.0,Pink,,Anime,Muscular,Saviors,1026.0,Saiyan,3296.0,950.0,Mind Reading,331.0,Eternal Firewave,10101.0,0.4
Dove,Hero,Stone,9615.0,64,181.0,117.0,Red,,Blonde,967.0,Anime,Slim,Captain,93.0,Human,2059.0,102.0,Mind Reading,6860.0,Fireburst Cannon,,0.34
